dato,datar
datos,datado
moda,modular
rango,rangos
lógica,lógico
error,erróneo
teorema,teórico
medida,medición
modelo,modelado
teorema,teoremas
exactitud,exacto
muestra,muestral
dinámica,dinámico
función,funcional
cálculo,calculado
código,codificado
función,funciones
precisión,preciso
decimales,decimal
máquina,maquinaria
análisis,analítico
álgebra,algebraico
análisis,analizado
lógica,lógicamente
varianza,variación
media,medianamente
recursión,recursivo
expresión,expresivo
software,softwarero
hardware,hardwarero
depuración,depurado
iterativo,iteración
redondeo,redondeado
desviación,desviado
simulación,simulado
regresión,regresado
complejidad,complejo
eficiencia,eficiente
compilador,compilado
algoritmo,algoritmos
mediana,medianamente
cuantil,cuantificado
intervalo,intervalos
hipótesis,hipotético
algoritmo,algorítmico
aprendizaje,aprendido
probabilidad,probable
variable,variabilidad
población,poblacional
covarianza,covariante
computación,computador
artificial,artificioso
matemáticas,matemático
estructura,estructural
conjunto,conjuntamente
tecnología,tecnológico
recursividad,recursivo
programación,programado
estadística,estadístico
informática,informático
programador,programable
optimización,optimizado
estructura,estructurado
aproximación,aproximado
inteligencia,inteligente
distribución,distribuido
eficiencia,eficientemente
complejidad,complejamente
correlación,correlacionado
error tipo I,error tipo II
probabilidad,probabilístico
matemáticas,matemáticamente
significancia,significativo
estadística,estadísticamente
intervalo de confianza,confiable
